taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
7066;09/12/2016 23:30:00;900;0;14.25;0;készpénz;
1322;10/12/2016 01:45:00;540;0;7.75;0;készpénz;
7541;10/12/2016 11:30:00;300;0;5.5;0;készpénz;
3612;10/12/2016 12:45:00;420;0;6.5;0;készpénz;
4106;10/12/2016 16:45:00;660;0;7.5;2;bankkártya;
1463;10/12/2016 18:15:00;300;0;5.25;0;készpénz;
7415;10/12/2016 18:45:00;780;0;10;0;készpénz;
3514;10/12/2016 20:45:00;240;0;4.75;0;készpénz;
973;10/12/2016 23:00:00;60;0;3.5;0;készpénz;
5812;10/12/2016 23:00:00;480;0;6.75;0;készpénz;
2421;11/12/2016 00:15:00;60;0;3.75;0;készpénz;
7528;11/12/2016 00:30:00;660;0;10.25;0;készpénz;
625;11/12/2016 05:00:00;1500;0;45.25;13.55;bankkártya;
5472;11/12/2016 17:45:00;360;0;6.75;1;bankkártya;
7210;12/12/2016 14:45:00;540;0;7.5;2;bankkártya;
376;12/12/2016 19:00:00;480;0;6.25;0;készpénz;
686;12/12/2016 23:30:00;360;0;6.25;0;készpénz;
6317;13/12/2016 10:45:00;300;0;5;0;készpénz;
8648;13/12/2016 11:15:00;1020;0;11;1;bankkártya;
505;13/12/2016 11:30:00;420;0;6.75;0;készpénz;
2877;13/12/2016 12:00:00;600;0;8;0;készpénz;
1152;13/12/2016 14:15:00;540;0;6.75;0;készpénz;
7210;13/12/2016 14:30:00;720;0;8;0;készpénz;
6407;13/12/2016 14:30:00;480;0;7.25;2;bankkártya;
5367;13/12/2016 15:45:00;1080;0;14.75;0;készpénz;
4107;13/12/2016 16:00:00;180;0;5;0;készpénz;
2888;13/12/2016 17:15:00;1620;0;16.25;0;készpénz;
4770;13/12/2016 17:45:00;600;0;11.25;0;készpénz;
8546;13/12/2016 18:00:00;540;0;6.25;0;készpénz;
5114;13/12/2016 18:15:00;5100;0;48.75;6;bankkártya;
4359;13/12/2016 19:00:00;780;0;7.5;0;készpénz;
3862;13/12/2016 19:00:00;420;0;6.25;0;készpénz;
2175;13/12/2016 19:15:00;840;0;8.75;0;készpénz;
4870;13/12/2016 20:15:00;120;0;3.75;0;készpénz;
7355;13/12/2016 21:45:00;300;0;5.75;0;készpénz;
1383;14/12/2016 03:00:00;180;0;4.75;0;készpénz;
3040;14/12/2016 09:15:00;900;0;13;2;bankkártya;
6317;14/12/2016 09:45:00;420;0;6.75;2;bankkártya;
2041;14/12/2016 12:45:00;420;0;6.5;1;bankkártya;
760;14/12/2016 13:45:00;60;0;4;0;készpénz;
393;14/12/2016 15:15:00;600;0;7.25;0;készpénz;
6749;14/12/2016 16:15:00;360;0;6;0;készpénz;
7092;14/12/2016 17:15:00;780;0;9;2;bankkártya;
7748;14/12/2016 18:00:00;1020;0;9.5;2;bankkártya;
8661;14/12/2016 18:30:00;60;0;3.25;0;készpénz;
8016;14/12/2016 18:30:00;1140;0;13.75;2.95;bankkártya;
1243;14/12/2016 20:00:00;780;0;8.25;3;bankkártya;
2918;14/12/2016 20:15:00;540;0;7;1.4;bankkártya;
1347;15/12/2016 05:00:00;60;0;3.25;0;készpénz;
7523;15/12/2016 08:45:00;1740;0;20;5;bankkártya;
1262;15/12/2016 10:00:00;240;0;5;0;készpénz;
4872;15/12/2016 12:30:00;540;0;7.5;0;készpénz;
1751;15/12/2016 13:45:00;660;0;9;0;készpénz;
8397;15/12/2016 14:00:00;335;0;5;0;készpénz;
3891;15/12/2016 18:45:00;240;0;5.25;0;készpénz;
2066;15/12/2016 20:30:00;240;0;6;1;bankkártya;
5796;15/12/2016 21:00:00;300;0;5.75;2;bankkártya;
1164;15/12/2016 22:15:00;360;0;6.75;2;bankkártya;
5636;16/12/2016 00:30:00;660;0;8;1;bankkártya;
5143;16/12/2016 01:30:00;300;0;7;2;bankkártya;
7210;16/12/2016 08:00:00;360;0;5.75;0;készpénz;
5400;16/12/2016 08:45:00;300;0;5.25;2;bankkártya;
548;16/12/2016 09:30:00;360;0;6;0;készpénz;
2448;16/12/2016 12:15:00;540;0;8.25;2;bankkártya;
6744;16/12/2016 13:00:00;420;0;6.25;2;bankkártya;
2663;16/12/2016 13:15:00;11;0;3.25;0;készpénz;
8648;16/12/2016 14:45:00;2160;0;27.75;4;bankkártya;
629;16/12/2016 15:45:00;1200;0;13.5;0;készpénz;
6317;16/12/2016 17:00:00;840;0;8.75;0;készpénz;
3238;16/12/2016 18:00:00;1140;0;9.75;0;készpénz;
6830;16/12/2016 19:00:00;60;0;3.25;0;készpénz;
3356;16/12/2016 22:00:00;660;0;14.25;0;készpénz;
8232;16/12/2016 22:00:00;1140;0;14;0;készpénz;
6;16/12/2016 23:30:00;840;0;20.5;5.35;bankkártya;
4106;17/12/2016 09:00:00;420;0;8.25;0;készpénz;
1383;17/12/2016 12:30:00;240;0;6;2;bankkártya;
7810;17/12/2016 13:15:00;60;0;0.01;0;készpénz;
1385;17/12/2016 15:30:00;1980;0;21;0;készpénz;
7776;17/12/2016 16:00:00;780;0;8.5;3;bankkártya;
3014;17/12/2016 16:45:00;420;0;5.75;4;bankkártya;
3865;17/12/2016 16:45:00;360;0;6.5;2;bankkártya;
6562;17/12/2016 16:45:00;360;0;5.75;0;készpénz;
1587;17/12/2016 21:00:00;2220;0;44.5;5;bankkártya;
7992;17/12/2016 22:15:00;3120;0;43.5;12;bankkártya;
8117;17/12/2016 22:30:00;600;0;7;0;készpénz;
6094;17/12/2016 23:15:00;480;0;6.25;0;készpénz;
53;18/12/2016 01:15:00;300;0;5.5;0;készpénz;
3209;18/12/2016 05:30:00;660;0;10;0;készpénz;
1633;18/12/2016 11:00:00;660;0;9.5;0;készpénz;
7523;18/12/2016 15:00:00;480;0;7;1;bankkártya;
4680;18/12/2016 19:15:00;480;0;6.75;0;készpénz;
3089;19/12/2016 02:30:00;240;0;6.25;2;bankkártya;
1030;19/12/2016 09:15:00;480;0;6.75;1;bankkártya;
3721;19/12/2016 14:15:00;720;0;9.5;0;készpénz;
3773;19/12/2016 14:30:00;480;0;6.5;0;készpénz;
6989;19/12/2016 14:45:00;300;0;5.25;0;készpénz;
7257;19/12/2016 15:15:00;840;0;9.25;0;készpénz;
6407;19/12/2016 15:15:00;180;0;4.75;0;készpénz;
4653;19/12/2016 16:15:00;600;0;7.5;2;bankkártya;
4254;19/12/2016 17:30:00;240;0;4.5;2;bankkártya;
1736;19/12/2016 20:30:00;180;0;4.5;2;bankkártya;
6902;20/12/2016 02:45:00;300;0;6.25;2;bankkártya;
6016;20/12/2016 08:15:00;660;0;20.1;0;ismeretlen;
788;20/12/2016 08:45:00;600;0;7.75;4.38;bankkártya;
7375;20/12/2016 15:45:00;480;0;6.25;0;készpénz;
1989;20/12/2016 16:45:00;300;0;5.75;0;készpénz;
6923;20/12/2016 17:00:00;240;0;4.25;0;készpénz;
5475;20/12/2016 18:00:00;300;0;5.5;0;készpénz;
1261;20/12/2016 18:45:00;600;0;7.25;1.5;bankkártya;
5114;20/12/2016 19:30:00;2040;0;32.25;8.05;bankkártya;
1924;20/12/2016 19:30:00;540;0;7.5;0;készpénz;
8014;20/12/2016 21:30:00;180;0;5;0;készpénz;
602;20/12/2016 23:15:00;1080;0;15.75;1;bankkártya;
1460;21/12/2016 13:45:00;900;0;9.25;0;készpénz;
3017;21/12/2016 14:45:00;120;0;4.5;2;bankkártya;
7923;21/12/2016 16:30:00;1620;0;21.5;0;készpénz;
433;21/12/2016 17:15:00;1020;0;18.25;0;készpénz;
6744;21/12/2016 18:00:00;1080;0;9.75;0;készpénz;
3684;21/12/2016 19:15:00;480;0;7;0;készpénz;
451;21/12/2016 21:00:00;420;0;6.75;2;bankkártya;
4638;21/12/2016 23:00:00;600;0;8.75;3;bankkártya;
5357;22/12/2016 01:30:00;660;0;10.5;1;bankkártya;
8232;22/12/2016 13:00:00;840;0;14.25;0;készpénz;
2121;22/12/2016 14:15:00;420;0;6.25;2;bankkártya;
